Rank;Name;Platform;Year;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales
9842;Rocksmith;PC;2012;Misc;Unknown;0.06;0.04;0;0.01;0.12
9870;Major League Baseball 2K6;PSP;2006;Sports;Unknown;0.11;0;0;0.01;0.12
9983;Happy Feet Two;DS;2011;Action;Warner Bros. Interactive Entertainment;0.09;0.02;0;0.01;0.12
10047;Star Trek: Conquest;PS2;2007;Strategy;Bethesda Softworks;0.06;0.04;0;0.01;0.11
10274;GiFTPiA;GC;2003;Role-Playing;Unknown;0;0;0.11;0;0.11
10364;Disney's Chicken Little: Ace In Action;Wii;2006;Shooter;Disney Interactive Studios;0.1;0;0;0.01;0.11
10467;Happy Feet Two;PS3;2011;Action;Warner Bros. Interactive Entertainment;0.09;0.01;0;0.01;0.1
10496;Atsumare! Power Pro Kun no DS Koushien;DS;2007;Sports;;0;0;0.1;0;0.1
10561;My Healthy Cooking Coach;DS;2008;Simulation;Unknown;0.09;0;0;0.01;0.1
10692;Happy Feet Two;X360;2011;Action;Warner Bros. Interactive Entertainment;0.08;0.01;0;0.01;0.1
10760;Luminous Arc 2 (JP sales);DS;2008;Role-Playing;Unknown;0;0;0.1;0;0.1
10794;The Daring Game for Girls;Wii;2009;Adventure;Unknown;0.09;0;0;0.01;0.1
10831;Egg Monster Hero;DS;2006;Role-Playing;Square Enix;0;0;0.09;0;0.09
10981;Samurai Shodown Anthology;PSP;2009;Fighting;Ignition Entertainment;0.08;0;0;0.01;0.09
10999;Demon Chaos;PS2;2005;Action;Konami Digital Entertainment;0;0;0.09;0;0.09
11078;Action Man-Operation Extreme;PS;1999;Action;;0.05;0.03;0;0.01;0.09
11110;Super Puzzle Fighter II;GBA;2003;Puzzle;Capcom;0.06;0.02;0;0;0.09
11144;Happy Feet Two;Wii;2011;Action;Warner Bros. Interactive Entertainment;0.07;0.01;0;0.01;0.09
11325;Charm Girls Club: My Fashion Show;DS;2009;Simulation;Unknown;0.08;0;0;0.01;0.08
11333;Get Fit with Mel B;X360;2010;Sports;Black Bean Games;0;0.07;0;0.01;0.08
11378;Face Racers: Photo Finish;3DS;2011;Racing;Majesco Entertainment;0.08;0;0;0;0.08
11411;Zero: Tsukihami no Kamen;Wii;2008;Action;Nintendo;0;0;0.08;0;0.08
11457;The Hidden;3DS;2011;Adventure;Unknown;0.08;0;0;0;0.08
11545;Rock Revolution;Wii;2008;Misc;Unknown;0.07;0;0;0.01;0.08
11575;Dead Island: Riptide;PC;2013;Action;Deep Silver;0;0.07;0;0.01;0.08
11757;Mega Man Battle Network: Operation Shooting Star;DS;2009;Role-Playing;Capcom;0;0;0.07;0;0.07
11800;Smashing Drive;GC;2002;Racing;Unknown;0.06;0.01;0;0;0.07
11923;Dream Trigger 3D;3DS;2011;Shooter;D3Publisher;0.04;0.02;0;0.01;0.07
11940;Tornado;DS;2006;Action;Ignition Entertainment;0.07;0;0;0;0.07
11978;McFarlane's Evil Prophecy;PS2;2004;Action;Konami Digital Entertainment;0.03;0.03;0;0.01;0.07
12017;Drake of the 99 Dragons;XB;2003;Shooter;Unknown;0.05;0.01;0;0;0.07
12030;Port Royale 3;PS3;2012;Simulation;Kalypso Media;0.06;0;0;0.01;0.07
12129;Build-A-Bear Workshop: Friendship Valley;Wii;2009;Misc;Unknown;0.06;0;0;0;0.07
12131;Alex Rider: Stormbreaker;DS;2006;Action;THQ;0.06;0;0;0;0.07
12137;Yoostar on MTV;X360;2011;Misc;Unknown;0.06;0;0;0;0.07
12186;Rayman Arena;XB;2002;Racing;Unknown;0.05;0.01;0;0;0.07
12214;National Geographic Challenge!;X360;2011;Misc;Unknown;0.06;0;0;0;0.07
12240;Port Royale 3;X360;2012;Simulation;Kalypso Media;0.06;0;0;0;0.07
12250;Jewel Link Chronicles: Mountains of Madness;DS;2011;Puzzle;Avanquest;0;0.06;0;0.01;0.06
12489;Chou Soujuu Mecha MG;DS;2006;Simulation;;0;0;0.06;0;0.06
12519;Prinny: Can I Really Be The Hero? (US sales);PSP;2009;Action;;0.06;0;0;0;0.06
12533;Combat Elite: WWII Paratroopers;PS2;2005;Shooter;Unknown;0.03;0.02;0;0.01;0.06
12628;Captain America: Super Soldier;Wii;2011;Action;Sega;0.05;0;0;0;0.06
12668;Flip's Twisted World;Wii;2010;Platform;Unknown;0.05;0;0;0;0.06
12711;Mobile Ops: The One Year War;X360;2009;Simulation;Namco Bandai Games;0;0;0.06;0;0.06
12751;Tom Clancy's Rainbow Six: Critical Hour;XB;2006;Shooter;Unknown;0.04;0.01;0;0;0.06
12809;GRID;DS;2008;Racing;Codemasters;0.04;0.01;0;0;0.06
12827;Captain America: Super Soldier;DS;2011;Action;Sega;0.05;0;0;0;0.05
12881;Reader Rabbit 2nd Grade;Wii;2010;Misc;Unknown;0.05;0;0;0;0.05
12917;Mountain Bike Adrenaline;PS2;2007;Sports;Unknown;0.03;0.02;0;0.01;0.05
12924;Tour de France 2011;X360;2011;Racing;Focus Home Interactive;0;0.05;0;0.01;0.05
12931;Drill Dozer;GBA;2006;Platform;Unknown;0.04;0.01;0;0;0.05
13057;Battle vs. Chess;PS3;2011;Misc;TopWare Interactive;0;0.04;0;0.01;0.05
13158;The History Channel: Great Battles - Medieval;PS3;2011;Strategy;Slitherine Software;0;0.04;0;0.01;0.05
13280;Monster Hunter Frontier Online;PS3;2013;Role-Playing;;0;0;0.05;0;0.05
13479;RollerCoaster Tycoon;PC;1999;Strategy;Microprose;0.02;0.02;0;0.01;0.04
13667;GRID;PC;2008;Racing;Codemasters;0;0.03;0;0.01;0.04
13674;B.L.U.E.: Legend of Water;PS;;Adventure;;0;0;0.04;0;0.04
13677;Luxor: Pharaoh's Challenge;Wii;2008;Puzzle;Funsta;0.01;0.03;0;0;0.04
13735;NHL Hitz Pro;GC;2003;Sports;Unknown;0.03;0.01;0;0;0.04
13872;Sega Rally 2006;PS2;2006;Racing;Unknown;0;0;0.04;0;0.04
13964;World of Tanks;X360;2014;Shooter;;0;0.03;0;0;0.04
14048;Swords;Wii;2007;Fighting;Unknown;0.03;0;0;0;0.04
14057;Half-Minute Hero 2;PSP;2011;Role-Playing;Rising Star Games;0;0;0.04;0;0.04
14058;Clockwork Empires;PC;2016;Strategy;Unknown;0;0.03;0;0;0.04
14089;Housekeeping;DS;2009;Action;;0;0;0.04;0;0.04
14100;Major League Baseball 2K8;PSP;2008;Sports;Unknown;0.03;0;0;0;0.03
14162;Sabre Wulf;GBA;2004;Platform;THQ;0.02;0.01;0;0;0.03
14276;Beyond the Labyrinth;3DS;2012;Role-Playing;Unknown;0;0;0.03;0;0.03
14299;Bikkuriman Daijiten;DS;2008;Misc;;0;0;0.03;0;0.03
14315;Majesty 2: The Fantasy Kingdom Sim;X360;2009;Simulation;Unknown;0.03;0;0;0;0.03
14380;Fullmetal Alchemist: Brotherhood;PSP;2012;Action;Unknown;0;0;0.03;0;0.03
14476;Combat Elite: WWII Paratroopers;XB;2005;Shooter;Unknown;0.02;0.01;0;0;0.03
14525;Samurai Spirits: Tenkaichi Kenkakuden;PS2;2005;Fighting;Unknown;0;0;0.03;0;0.03
14586;Battle vs. Chess;PC;2011;Misc;TopWare Interactive;0;0.02;0;0.01;0.03
14679;Tom and Jerry in War of the Whiskers;XB;2002;Fighting;Unknown;0.02;0.01;0;0;0.03
14699;Super Duper Sumos;GBA;2003;Action;Unknown;0.02;0.01;0;0;0.03
14852;Legacy of Ys: Books I & II;DS;2009;Role-Playing;Unknown;0.02;0;0;0;0.03
14858;The King of Fighters: Maximum Impact - Maniax;XB;2005;Fighting;Unknown;0.02;0.01;0;0;0.03
14879;Combat Wings: The Great Battles of WWII;Wii;2010;Simulation;City Interactive;0.02;0;0;0;0.03
14928;Tube Slider;GC;2003;Racing;Unknown;0.02;0;0;0;0.02
14945;Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku;PS3;2011;Adventure;;0;0;0.02;0;0.02
15000;Wii de Asobu: Metroid Prime;Wii;2009;Shooter;Nintendo;0;0;0.02;0;0.02
15001;Payout Poker & Casino;PSP;2006;Misc;Unknown;0.02;0;0;0;0.02
15002;Wii de Asobu: Metroid Prime;Wii;2009;Shooter;Nintendo;0;0;0.02;0;0.02
15200;Saint;Wii;2010;Shooter;Unknown;0.02;0;0;0;0.02
15211;Steal Princess;DS;2009;Platform;Unknown;0.02;0;0;0;0.02
15264;Mario Tennis;3DS;2012;Sports;;0;0;0.02;0;0.02
15319;Runaway: A Twist of Fate;DS;2011;Adventure;Focus Home Interactive;0;0.02;0;0;0.02
15479;Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales);Wii;2009;Racing;Unknown;0;0;0.02;0;0.02
15582;Cabela's Alaskan Adventure;PS2;2006;Sports;Unknown;0.01;0.01;0;0;0.02
15609;Writing and Speaking Beautiful Japanese DS;DS;2007;Misc;Unknown;0;0;0.02;0;0.02
15655;Virtua Quest;PS2;2004;Role-Playing;Unknown;0.01;0.01;0;0;0.02
15700;Shonen Jump's Yu-Gi-Oh! GX Card Almanac;DS;2007;Misc;Konami Digital Entertainment;0;0;0.02;0;0.02
15720;Without Warning;XB;2005;Shooter;Capcom;0.01;0;0;0;0.02
15742;Football Manager 2007;X360;2006;Sports;Sega;0;0.01;0;0;0.02
15814;Ferrari: The Race Experience;Wii;2010;Racing;System 3 Arcade Software;0;0.01;0;0;0.02
15868;PDC World Championship Darts 2008;DS;2008;Sports;Unknown;0.01;0;0;0;0.02
15879;Dinotopia: The Sunstone Odyssey;GC;2003;Action;Unknown;0.01;0;0;0;0.02
15881;Dance! It's Your Stage;Wii;2011;Misc;DTP Entertainment;0;0.01;0;0;0.02
15903;Jet Impulse;DS;2008;Simulation;Nintendo;0;0;0.02;0;0.02
15918;Dream Dancer;DS;2008;Misc;;0.01;0;0;0;0.02
16060;PDC World Championship Darts 2008;PSP;2008;Sports;Oxygen Interactive;0.01;0;0;0;0.01
16061;WRC: FIA World Rally Championship;PC;2010;Racing;Black Bean Games;0;0.01;0;0;0.01
16068;Aquaman: Battle for Atlantis;XB;2003;Action;Unknown;0.01;0;0;0;0.01
16194;Homeworld Remastered Collection;PC;2015;Strategy;;0;0.01;0;0;0.01
16197;Shorts;DS;2009;Platform;Unknown;0.01;0;0;0;0.01
16201;AKB1/48: Idol to Guam de Koishitara...;X360;2010;Misc;;0;0;0.01;0;0.01
16232;Brothers in Arms: Furious 4;X360;;Shooter;;0.01;0;0;0;0.01
16249;Agarest Senki: Re-appearance;PS3;2014;Role-Playing;Idea Factory;0;0;0.01;0;0.01
16310;Freaky Flyers;GC;2003;Racing;Unknown;0.01;0;0;0;0.01
16330;Inversion;PC;1998;Shooter;Namco Bandai Games;0.01;0;0;0;0.01
16369;Hakuouki: Shinsengumi Kitan;PS3;2012;Adventure;Unknown;0.01;0;0;0;0.01
16430;Virtua Quest;GC;2004;Role-Playing;Unknown;0.01;0;0;0;0.01
16496;The Smurfs;3DS;2011;Action;Unknown;0;0.01;0;0;0.01
